date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-06-03,36,30,0.0,13.3,7,59,10:06 PM,08:35 AM,04:51 AM,06:18 PM,24,39,39,33,13,29,62,11.4,1002,36,9,179,10,Kolkata
2018-06-04,36,30,0.0,13.3,8,52,10:48 PM,09:26 AM,04:51 AM,06:18 PM,24,40,40,33,15,28,62,0.2,1002,36,10,163,12,Kolkata
2018-06-05,36,30,0.0,12.1,7,44,11:27 PM,10:16 AM,04:51 AM,06:19 PM,24,39,39,33,12,46,60,0.0,1004,36,10,161,10,Kolkata
2018-06-06,36,30,0.0,10.9,7,36,No moonrise,11:08 AM,04:51 AM,06:19 PM,23,39,39,33,12,43,57,0.2,1004,36,10,149,9,Kolkata
2018-06-07,37,30,0.0,10.9,8,29,12:04 AM,12:00 PM,04:51 AM,06:19 PM,23,39,39,33,11,57,56,0.0,1002,37,10,164,9,Kolkata
2018-06-08,38,31,0.0,10.9,8,21,12:41 AM,12:52 PM,04:51 AM,06:20 PM,23,40,40,34,8,53,55,4.0,999,38,9,148,6,Kolkata
2018-06-09,36,31,0.0,12.1,7,14,01:19 AM,01:47 PM,04:51 AM,06:20 PM,24,40,40,33,9,46,58,10.1,996,36,9,214,7,Kolkata
2018-06-10,34,30,0.0,13.3,7,6,01:58 AM,02:44 PM,04:51 AM,06:20 PM,25,39,39,32,12,51,66,25.5,995,34,8,219,8,Kolkata
2018-06-11,38,31,0.0,12.1,7,0,02:40 AM,03:44 PM,04:51 AM,06:21 PM,25,40,40,33,13,51,62,9.8,994,38,10,231,9,Kolkata
2018-06-12,36,30,0.0,9.8,7,0,03:26 AM,04:47 PM,04:51 AM,06:21 PM,25,40,40,32,14,56,67,9.7,994,36,9,224,10,Kolkata
2018-06-13,41,29,0.0,13.7,9,0,04:17 AM,05:52 PM,04:51 AM,06:21 PM,24,41,41,34,22,20,56,0.7,994,41,10,226,17,Kolkata
2018-06-14,42,32,0.0,13.7,8,1,05:13 AM,06:57 PM,04:51 AM,06:22 PM,23,41,41,36,22,25,48,1.0,996,42,10,228,17,Kolkata
2018-06-15,44,31,0.0,13.7,9,9,06:14 AM,08:00 PM,04:52 AM,06:22 PM,22,42,42,36,17,11,48,17.3,998,44,9,209,13,Kolkata
2018-06-16,40,32,0.0,13.7,9,16,07:19 AM,08:58 PM,04:52 AM,06:22 PM,21,40,40,36,18,26,44,0.2,999,40,10,218,14,Kolkata
2018-06-17,43,32,0.0,13.7,10,24,08:24 AM,09:52 PM,04:52 AM,06:23 PM,20,41,41,37,16,23,40,0.0,999,43,10,206,12,Kolkata
2018-06-18,43,32,0.0,13.7,10,31,09:28 AM,10:40 PM,04:52 AM,06:23 PM,20,42,42,37,17,23,39,0.0,998,43,10,211,13,Kolkata
2018-06-19,43,33,0.0,13.3,9,39,10:29 AM,11:24 PM,04:52 AM,06:23 PM,21,42,42,37,12,23,42,0.0,999,43,10,211,9,Kolkata
2018-06-20,41,32,0.0,13.7,8,46,11:28 AM,No moonset,04:52 AM,06:23 PM,23,42,42,36,15,27,49,6.9,1001,41,9,188,12,Kolkata
2018-06-21,40,31,0.0,13.7,9,54,12:24 PM,12:04 AM,04:53 AM,06:24 PM,23,41,41,35,17,38,50,0.2,1002,40,10,179,14,Kolkata
2018-06-22,38,31,0.0,13.7,9,61,01:19 PM,12:43 AM,04:53 AM,06:24 PM,23,40,40,34,16,33,56,0.0,1002,38,10,176,13,Kolkata
2018-06-23,36,30,0.0,12.1,7,69,02:12 PM,01:21 AM,04:53 AM,06:24 PM,24,38,38,32,16,49,63,4.0,1001,36,10,192,13,Kolkata
2018-06-24,37,29,0.0,13.7,7,77,03:06 PM,02:00 AM,04:53 AM,06:24 PM,24,38,38,32,20,55,61,0.8,1000,37,10,213,15,Kolkata
2018-06-25,38,30,0.0,9.8,7,84,03:59 PM,02:39 AM,04:54 AM,06:24 PM,24,38,38,32,18,67,64,2.0,999,38,9,202,14,Kolkata
2018-06-26,33,27,0.0,13.3,7,92,04:51 PM,03:22 AM,04:54 AM,06:25 PM,24,35,35,30,13,54,72,15.3,999,33,8,234,10,Kolkata
2018-06-27,34,28,0.0,13.3,7,99,05:43 PM,04:05 AM,04:54 AM,06:25 PM,24,35,35,30,20,61,69,5.9,1000,34,10,148,16,Kolkata
2018-06-28,33,28,0.0,13.3,7,100,06:32 PM,04:52 AM,04:54 AM,06:25 PM,24,35,35,30,21,50,69,3.1,1003,33,10,153,17,Kolkata
2018-06-29,35,28,0.0,10.9,7,86,07:20 PM,05:40 AM,04:55 AM,06:25 PM,23,36,36,31,18,45,65,4.9,1003,35,10,182,14,Kolkata
2018-06-30,35,29,0.0,13.7,8,78,08:04 PM,06:30 AM,04:55 AM,06:25 PM,23,37,37,32,22,39,58,0.0,1002,35,10,205,17,Kolkata
2018-07-01,36,30,0.0,13.7,7,75,08:46 PM,07:21 AM,04:55 AM,06:25 PM,23,38,38,33,23,37,58,2.0,1002,36,10,197,17,Kolkata
2018-07-02,36,30,0.0,12.1,7,68,09:26 PM,08:11 AM,04:56 AM,06:25 PM,24,38,38,33,21,44,60,3.5,1001,36,10,211,16,Kolkata
